# m_de [MeV], m_dp [MeV], epsilon
2.121e+01,2.121e+02,4.292e-05
2.121e+01,2.121e+02,5.690e-05
2.121e+01,2.121e+02,7.543e-05
2.121e+01,2.121e+02,1.000e-04
2.442e+01,2.442e+01,1.000e-10
2.442e+01,2.442e+01,1.326e-10
2.442e+01,2.442e+01,1.758e-10
2.442e+01,2.442e+01,2.330e-10
2.442e+01,2.442e+01,3.089e-10
2.442e+01,2.442e+01,4.095e-10
2.442e+01,2.442e+01,5.429e-10
2.442e+01,2.442e+01,7.197e-10
2.442e+01,2.442e+01,9.541e-10
2.442e+01,2.442e+01,1.265e-09
2.442e+01,2.442e+01,1.677e-09
2.442e+01,2.442e+01,2.223e-09
2.442e+01,2.442e+01,2.947e-09
2.442e+01,2.442e+01,3.907e-09
2.442e+01,2.442e+01,5.179e-09
2.442e+01,2.442e+01,6.866e-09
2.442e+01,2.442e+01,9.103e-09
2.442e+01,2.442e+01,1.207e-08
2.442e+01,2.442e+01,1.600e-08
2.442e+01,2.442e+01,2.121e-08
2.442e+01,2.442e+01,2.812e-08
2.442e+01,2.442e+01,3.728e-08
2.442e+01,2.442e+01,4.942e-08
2.442e+01,2.442e+01,6.551e-08
2.442e+01,2.442e+01,8.685e-08
2.442e+01,2.442e+01,1.151e-07
2.442e+01,2.442e+01,1.526e-07
2.442e+01,2.442e+01,2.024e-07
2.442e+01,2.442e+01,2.683e-07
2.442e+01,2.442e+01,3.556e-07
2.442e+01,2.442e+01,4.715e-07
2.442e+01,2.442e+01,6.251e-07
2.442e+01,2.442e+01,8.286e-07
2.442e+01,2.442e+01,1.099e-06
2.442e+01,2.442e+01,1.456e-06
2.442e+01,2.442e+01,1.931e-06
2.442e+01,2.442e+01,2.560e-06
2.442e+01,2.442e+01,3.393e-06
2.442e+01,2.442e+01,4.498e-06
2.442e+01,2.442e+01,5.964e-06
2.442e+01,2.442e+01,7.906e-06
2.442e+01,2.442e+01,1.048e-05
2.442e+01,2.442e+01,1.389e-05
2.442e+01,2.442e+01,1.842e-05
2.442e+01,2.442e+01,2.442e-05
2.442e+01,2.442e+01,3.237e-05
2.442e+01,2.442e+01,4.292e-05
2.442e+01,2.442e+01,5.690e-05
2.442e+01,2.442e+01,7.543e-05
2.442e+01,2.442e+01,1.000e-04
2.442e+01,4.942e+01,1.000e-10
2.442e+01,4.942e+01,1.326e-10
2.442e+01,4.942e+01,1.758e-10
2.442e+01,4.942e+01,2.330e-10
2.442e+01,4.942e+01,3.089e-10
2.442e+01,4.942e+01,4.095e-10
2.442e+01,4.942e+01,5.429e-10
2.442e+01,4.942e+01,7.197e-10
2.442e+01,4.942e+01,9.541e-10
2.442e+01,4.942e+01,1.265e-09
2.442e+01,4.942e+01,1.677e-09
2.442e+01,4.942e+01,2.223e-09
2.442e+01,4.942e+01,2.947e-09
2.442e+01,4.942e+01,3.907e-09
2.442e+01,4.942e+01,5.179e-09
2.442e+01,4.942e+01,6.866e-09
2.442e+01,4.942e+01,9.103e-09
2.442e+01,4.942e+01,1.207e-08
2.442e+01,4.942e+01,1.600e-08
2.442e+01,4.942e+01,2.121e-08
2.442e+01,4.942e+01,2.812e-08
2.442e+01,4.942e+01,3.728e-08
2.442e+01,4.942e+01,4.942e-08
2.442e+01,4.942e+01,6.551e-08
2.442e+01,4.942e+01,8.685e-08
2.442e+01,4.942e+01,1.151e-07
2.442e+01,4.942e+01,1.526e-07
2.442e+01,4.942e+01,2.024e-07
2.442e+01,4.942e+01,2.683e-07
2.442e+01,4.942e+01,3.556e-07
2.442e+01,4.942e+01,4.715e-07
2.442e+01,4.942e+01,6.251e-07
2.442e+01,4.942e+01,8.286e-07
2.442e+01,4.942e+01,1.099e-06
2.442e+01,4.942e+01,1.456e-06
2.442e+01,4.942e+01,1.931e-06
2.442e+01,4.942e+01,2.560e-06
2.442e+01,4.942e+01,3.393e-06
2.442e+01,4.942e+01,4.498e-06
2.442e+01,4.942e+01,5.964e-06
2.442e+01,4.942e+01,7.906e-06
2.442e+01,4.942e+01,1.048e-05
2.442e+01,4.942e+01,1.389e-05
2.442e+01,4.942e+01,1.842e-05
2.442e+01,4.942e+01,2.442e-05
2.442e+01,4.942e+01,3.237e-05
2.442e+01,4.942e+01,4.292e-05
2.442e+01,4.942e+01,5.690e-05
2.442e+01,4.942e+01,7.543e-05
2.442e+01,4.942e+01,1.000e-04
2.442e+01,7.543e+01,1.000e-10
2.442e+01,7.543e+01,1.326e-10
2.442e+01,7.543e+01,1.758e-10
2.442e+01,7.543e+01,2.330e-10
2.442e+01,7.543e+01,3.089e-10
2.442e+01,7.543e+01,4.095e-10
2.442e+01,7.543e+01,5.429e-10
2.442e+01,7.543e+01,7.197e-10
2.442e+01,7.543e+01,9.541e-10
2.442e+01,7.543e+01,1.265e-09
2.442e+01,7.543e+01,1.677e-09
2.442e+01,7.543e+01,2.223e-09
2.442e+01,7.543e+01,2.947e-09
2.442e+01,7.543e+01,3.907e-09
2.442e+01,7.543e+01,5.179e-09
2.442e+01,7.543e+01,6.866e-09
2.442e+01,7.543e+01,9.103e-09
2.442e+01,7.543e+01,1.207e-08
2.442e+01,7.543e+01,1.600e-08
2.442e+01,7.543e+01,2.121e-08
2.442e+01,7.543e+01,2.812e-08
2.442e+01,7.543e+01,3.728e-08
2.442e+01,7.543e+01,4.942e-08
2.442e+01,7.543e+01,6.551e-08
2.442e+01,7.543e+01,8.685e-08
2.442e+01,7.543e+01,1.151e-07
2.442e+01,7.543e+01,1.526e-07
2.442e+01,7.543e+01,2.024e-07
2.442e+01,7.543e+01,2.683e-07
2.442e+01,7.543e+01,3.556e-07
2.442e+01,7.543e+01,4.715e-07
2.442e+01,7.543e+01,6.251e-07
2.442e+01,7.543e+01,8.286e-07
2.442e+01,7.543e+01,1.099e-06
2.442e+01,7.543e+01,1.456e-06
2.442e+01,7.543e+01,1.931e-06
2.442e+01,7.543e+01,2.560e-06
2.442e+01,7.543e+01,3.393e-06
2.442e+01,7.543e+01,4.498e-06
2.442e+01,7.543e+01,5.964e-06
2.442e+01,7.543e+01,7.906e-06
2.442e+01,7.543e+01,1.048e-05
2.442e+01,7.543e+01,1.389e-05
2.442e+01,7.543e+01,1.842e-05
2.442e+01,7.543e+01,2.442e-05
2.442e+01,7.543e+01,3.237e-05
2.442e+01,7.543e+01,4.292e-05
2.442e+01,7.543e+01,5.690e-05
2.442e+01,7.543e+01,7.543e-05
2.442e+01,7.543e+01,1.000e-04
2.442e+01,1.000e+02,1.000e-10
2.442e+01,1.000e+02,1.326e-10
2.442e+01,1.000e+02,1.758e-10
2.442e+01,1.000e+02,2.330e-10
2.442e+01,1.000e+02,3.089e-10
2.442e+01,1.000e+02,4.095e-10
2.442e+01,1.000e+02,5.429e-10
2.442e+01,1.000e+02,7.197e-10
2.442e+01,1.000e+02,9.541e-10
2.442e+01,1.000e+02,1.265e-09
2.442e+01,1.000e+02,1.677e-09
2.442e+01,1.000e+02,2.223e-09
2.442e+01,1.000e+02,2.947e-09
2.442e+01,1.000e+02,3.907e-09
2.442e+01,1.000e+02,5.179e-09
2.442e+01,1.000e+02,6.866e-09
2.442e+01,1.000e+02,9.103e-09
2.442e+01,1.000e+02,1.207e-08
2.442e+01,1.000e+02,1.600e-08
2.442e+01,1.000e+02,2.121e-08
2.442e+01,1.000e+02,2.812e-08
2.442e+01,1.000e+02,3.728e-08
2.442e+01,1.000e+02,4.942e-08
2.442e+01,1.000e+02,6.551e-08
2.442e+01,1.000e+02,8.685e-08
2.442e+01,1.000e+02,1.151e-07
2.442e+01,1.000e+02,1.526e-07
2.442e+01,1.000e+02,2.024e-07
2.442e+01,1.000e+02,2.683e-07
2.442e+01,1.000e+02,3.556e-07
2.442e+01,1.000e+02,4.715e-07
2.442e+01,1.000e+02,6.251e-07
2.442e+01,1.000e+02,8.286e-07
2.442e+01,1.000e+02,1.099e-06
2.442e+01,1.000e+02,1.456e-06
2.442e+01,1.000e+02,1.931e-06
2.442e+01,1.000e+02,2.560e-06
2.442e+01,1.000e+02,3.393e-06
2.442e+01,1.000e+02,4.498e-06
2.442e+01,1.000e+02,5.964e-06
2.442e+01,1.000e+02,7.906e-06
2.442e+01,1.000e+02,1.048e-05
2.442e+01,1.000e+02,1.389e-05
2.442e+01,1.000e+02,1.842e-05
2.442e+01,1.000e+02,2.442e-05
2.442e+01,1.000e+02,3.237e-05
2.442e+01,1.000e+02,4.292e-05
2.442e+01,1.000e+02,5.690e-05
2.442e+01,1.000e+02,7.543e-05
2.442e+01,1.000e+02,1.000e-04
2.442e+01,1.207e+02,1.000e-10
2.442e+01,1.207e+02,1.326e-10
2.442e+01,1.207e+02,1.758e-10
2.442e+01,1.207e+02,2.330e-10
2.442e+01,1.207e+02,3.089e-10
2.442e+01,1.207e+02,4.095e-10
2.442e+01,1.207e+02,5.429e-10
2.442e+01,1.207e+02,7.197e-10
2.442e+01,1.207e+02,9.541e-10
2.442e+01,1.207e+02,1.265e-09
2.442e+01,1.207e+02,1.677e-09
2.442e+01,1.207e+02,2.223e-09
2.442e+01,1.207e+02,2.947e-09
2.442e+01,1.207e+02,3.907e-09
2.442e+01,1.207e+02,5.179e-09
2.442e+01,1.207e+02,6.866e-09
2.442e+01,1.207e+02,9.103e-09
2.442e+01,1.207e+02,1.207e-08
2.442e+01,1.207e+02,1.600e-08
2.442e+01,1.207e+02,2.121e-08
2.442e+01,1.207e+02,2.812e-08
2.442e+01,1.207e+02,3.728e-08
2.442e+01,1.207e+02,4.942e-08
2.442e+01,1.207e+02,6.551e-08
2.442e+01,1.207e+02,8.685e-08
2.442e+01,1.207e+02,1.151e-07
2.442e+01,1.207e+02,1.526e-07
2.442e+01,1.207e+02,2.024e-07
2.442e+01,1.207e+02,2.683e-07
2.442e+01,1.207e+02,3.556e-07
2.442e+01,1.207e+02,4.715e-07
2.442e+01,1.207e+02,6.251e-07
2.442e+01,1.207e+02,8.286e-07
2.442e+01,1.207e+02,1.099e-06
2.442e+01,1.207e+02,1.456e-06
2.442e+01,1.207e+02,1.931e-06
2.442e+01,1.207e+02,2.560e-06
2.442e+01,1.207e+02,3.393e-06
2.442e+01,1.207e+02,4.498e-06
2.442e+01,1.207e+02,5.964e-06
2.442e+01,1.207e+02,7.906e-06
2.442e+01,1.207e+02,1.048e-05
2.442e+01,1.207e+02,1.389e-05
2.442e+01,1.207e+02,1.842e-05
2.442e+01,1.207e+02,2.442e-05
2.442e+01,1.207e+02,3.237e-05
2.442e+01,1.207e+02,4.292e-05
2.442e+01,1.207e+02,5.690e-05
2.442e+01,1.207e+02,7.543e-05
2.442e+01,1.207e+02,1.000e-04
2.442e+01,1.456e+02,1.000e-10
2.442e+01,1.456e+02,1.326e-10
2.442e+01,1.456e+02,1.758e-10
2.442e+01,1.456e+02,2.330e-10
2.442e+01,1.456e+02,3.089e-10
2.442e+01,1.456e+02,4.095e-10
2.442e+01,1.456e+02,5.429e-10
2.442e+01,1.456e+02,7.197e-10
2.442e+01,1.456e+02,9.541e-10
2.442e+01,1.456e+02,1.265e-09
2.442e+01,1.456e+02,1.677e-09
2.442e+01,1.456e+02,2.223e-09
2.442e+01,1.456e+02,2.947e-09
2.442e+01,1.456e+02,3.907e-09
2.442e+01,1.456e+02,5.179e-09
2.442e+01,1.456e+02,6.866e-09
2.442e+01,1.456e+02,9.103e-09
2.442e+01,1.456e+02,1.207e-08
2.442e+01,1.456e+02,1.600e-08
2.442e+01,1.456e+02,2.121e-08
2.442e+01,1.456e+02,2.812e-08
2.442e+01,1.456e+02,3.728e-08
2.442e+01,1.456e+02,4.942e-08
2.442e+01,1.456e+02,6.551e-08
2.442e+01,1.456e+02,8.685e-08
2.442e+01,1.456e+02,1.151e-07
2.442e+01,1.456e+02,1.526e-07
2.442e+01,1.456e+02,2.024e-07
2.442e+01,1.456e+02,2.683e-07
2.442e+01,1.456e+02,3.556e-07
2.442e+01,1.456e+02,4.715e-07
2.442e+01,1.456e+02,6.251e-07
2.442e+01,1.456e+02,8.286e-07
2.442e+01,1.456e+02,1.099e-06
2.442e+01,1.456e+02,1.456e-06
2.442e+01,1.456e+02,1.931e-06
2.442e+01,1.456e+02,2.560e-06
2.442e+01,1.456e+02,3.393e-06
2.442e+01,1.456e+02,4.498e-06
2.442e+01,1.456e+02,5.964e-06
2.442e+01,1.456e+02,7.906e-06
2.442e+01,1.456e+02,1.048e-05
2.442e+01,1.456e+02,1.389e-05
2.442e+01,1.456e+02,1.842e-05
2.442e+01,1.456e+02,2.442e-05
2.442e+01,1.456e+02,3.237e-05
2.442e+01,1.456e+02,4.292e-05
2.442e+01,1.456e+02,5.690e-05
2.442e+01,1.456e+02,7.543e-05
2.442e+01,1.456e+02,1.000e-04
2.442e+01,1.677e+02,1.000e-10
2.442e+01,1.677e+02,1.326e-10
2.442e+01,1.677e+02,1.758e-10
2.442e+01,1.677e+02,2.330e-10
2.442e+01,1.677e+02,3.089e-10
2.442e+01,1.677e+02,4.095e-10
2.442e+01,1.677e+02,5.429e-10
2.442e+01,1.677e+02,7.197e-10
2.442e+01,1.677e+02,9.541e-10
2.442e+01,1.677e+02,1.265e-09
2.442e+01,1.677e+02,1.677e-09
2.442e+01,1.677e+02,2.223e-09
2.442e+01,1.677e+02,2.947e-09
2.442e+01,1.677e+02,3.907e-09
2.442e+01,1.677e+02,5.179e-09
2.442e+01,1.677e+02,6.866e-09
2.442e+01,1.677e+02,9.103e-09
2.442e+01,1.677e+02,1.207e-08
2.442e+01,1.677e+02,1.600e-08
2.442e+01,1.677e+02,2.121e-08
2.442e+01,1.677e+02,2.812e-08
2.442e+01,1.677e+02,3.728e-08
2.442e+01,1.677e+02,4.942e-08
2.442e+01,1.677e+02,6.551e-08
2.442e+01,1.677e+02,8.685e-08
2.442e+01,1.677e+02,1.151e-07
2.442e+01,1.677e+02,1.526e-07
2.442e+01,1.677e+02,2.024e-07
2.442e+01,1.677e+02,2.683e-07
2.442e+01,1.677e+02,3.556e-07
2.442e+01,1.677e+02,4.715e-07
2.442e+01,1.677e+02,6.251e-07
2.442e+01,1.677e+02,8.286e-07
2.442e+01,1.677e+02,1.099e-06
2.442e+01,1.677e+02,1.456e-06
2.442e+01,1.677e+02,1.931e-06
2.442e+01,1.677e+02,2.560e-06
2.442e+01,1.677e+02,3.393e-06
2.442e+01,1.677e+02,4.498e-06
2.442e+01,1.677e+02,5.964e-06
2.442e+01,1.677e+02,7.906e-06
2.442e+01,1.677e+02,1.048e-05
2.442e+01,1.677e+02,1.389e-05
2.442e+01,1.677e+02,1.842e-05
2.442e+01,1.677e+02,2.442e-05
2.442e+01,1.677e+02,3.237e-05
2.442e+01,1.677e+02,4.292e-05
2.442e+01,1.677e+02,5.690e-05
2.442e+01,1.677e+02,7.543e-05
2.442e+01,1.677e+02,1.000e-04
2.442e+01,1.931e+02,1.000e-10
2.442e+01,1.931e+02,1.326e-10
2.442e+01,1.931e+02,1.758e-10
2.442e+01,1.931e+02,2.330e-10
2.442e+01,1.931e+02,3.089e-10
2.442e+01,1.931e+02,4.095e-10
2.442e+01,1.931e+02,5.429e-10
2.442e+01,1.931e+02,7.197e-10
2.442e+01,1.931e+02,9.541e-10
2.442e+01,1.931e+02,1.265e-09
2.442e+01,1.931e+02,1.677e-09
2.442e+01,1.931e+02,2.223e-09
2.442e+01,1.931e+02,2.947e-09
2.442e+01,1.931e+02,3.907e-09
2.442e+01,1.931e+02,5.179e-09
2.442e+01,1.931e+02,6.866e-09
2.442e+01,1.931e+02,9.103e-09
2.442e+01,1.931e+02,1.207e-08
2.442e+01,1.931e+02,1.600e-08
2.442e+01,1.931e+02,2.121e-08
2.442e+01,1.931e+02,2.812e-08
2.442e+01,1.931e+02,3.728e-08
2.442e+01,1.931e+02,4.942e-08
2.442e+01,1.931e+02,6.551e-08
2.442e+01,1.931e+02,8.685e-08
2.442e+01,1.931e+02,1.151e-07
2.442e+01,1.931e+02,1.526e-07
2.442e+01,1.931e+02,2.024e-07
2.442e+01,1.931e+02,2.683e-07
2.442e+01,1.931e+02,3.556e-07
2.442e+01,1.931e+02,4.715e-07
2.442e+01,1.931e+02,6.251e-07
2.442e+01,1.931e+02,8.286e-07
2.442e+01,1.931e+02,1.099e-06
2.442e+01,1.931e+02,1.456e-06
2.442e+01,1.931e+02,1.931e-06
2.442e+01,1.931e+02,2.560e-06
2.442e+01,1.931e+02,3.393e-06
2.442e+01,1.931e+02,4.498e-06
2.442e+01,1.931e+02,5.964e-06
2.442e+01,1.931e+02,7.906e-06
2.442e+01,1.931e+02,1.048e-05
2.442e+01,1.931e+02,1.389e-05
2.442e+01,1.931e+02,1.842e-05
2.442e+01,1.931e+02,2.442e-05
2.442e+01,1.931e+02,3.237e-05
2.442e+01,1.931e+02,4.292e-05
2.442e+01,1.931e+02,5.690e-05
2.442e+01,1.931e+02,7.543e-05
2.442e+01,1.931e+02,1.000e-04
2.442e+01,2.223e+02,1.000e-10
2.442e+01,2.223e+02,1.326e-10
2.442e+01,2.223e+02,1.758e-10
2.442e+01,2.223e+02,2.330e-10
2.442e+01,2.223e+02,3.089e-10
2.442e+01,2.223e+02,4.095e-10
2.442e+01,2.223e+02,5.429e-10
2.442e+01,2.223e+02,7.197e-10
2.442e+01,2.223e+02,9.541e-10
2.442e+01,2.223e+02,1.265e-09
2.442e+01,2.223e+02,1.677e-09
2.442e+01,2.223e+02,2.223e-09
2.442e+01,2.223e+02,2.947e-09
2.442e+01,2.223e+02,3.907e-09
2.442e+01,2.223e+02,5.179e-09
2.442e+01,2.223e+02,6.866e-09
2.442e+01,2.223e+02,9.103e-09
2.442e+01,2.223e+02,1.207e-08
2.442e+01,2.223e+02,1.600e-08
2.442e+01,2.223e+02,2.121e-08
2.442e+01,2.223e+02,2.812e-08
2.442e+01,2.223e+02,3.728e-08
2.442e+01,2.223e+02,4.942e-08
2.442e+01,2.223e+02,6.551e-08
2.442e+01,2.223e+02,8.685e-08
2.442e+01,2.223e+02,1.151e-07
2.442e+01,2.223e+02,1.526e-07
2.442e+01,2.223e+02,2.024e-07
2.442e+01,2.223e+02,2.683e-07
2.442e+01,2.223e+02,3.556e-07
2.442e+01,2.223e+02,4.715e-07
2.442e+01,2.223e+02,6.251e-07
2.442e+01,2.223e+02,8.286e-07
2.442e+01,2.223e+02,1.099e-06
2.442e+01,2.223e+02,1.456e-06
2.442e+01,2.223e+02,1.931e-06
2.442e+01,2.223e+02,2.560e-06
2.442e+01,2.223e+02,3.393e-06
2.442e+01,2.223e+02,4.498e-06
2.442e+01,2.223e+02,5.964e-06
2.442e+01,2.223e+02,7.906e-06
2.442e+01,2.223e+02,1.048e-05
2.442e+01,2.223e+02,1.389e-05
2.442e+01,2.223e+02,1.842e-05
2.442e+01,2.223e+02,2.442e-05
2.442e+01,2.223e+02,3.237e-05
2.442e+01,2.223e+02,4.292e-05
2.442e+01,2.223e+02,5.690e-05
2.442e+01,2.223e+02,7.543e-05
2.442e+01,2.223e+02,1.000e-04
2.442e+01,2.442e+02,1.000e-10
2.442e+01,2.442e+02,1.326e-10
2.442e+01,2.442e+02,1.758e-10
2.442e+01,2.442e+02,2.330e-10
2.442e+01,2.442e+02,3.089e-10
2.442e+01,2.442e+02,4.095e-10
2.442e+01,2.442e+02,5.429e-10
2.442e+01,2.442e+02,7.197e-10
2.442e+01,2.442e+02,9.541e-10
2.442e+01,2.442e+02,1.265e-09
2.442e+01,2.442e+02,1.677e-09
2.442e+01,2.442e+02,2.223e-09
2.442e+01,2.442e+02,2.947e-09
2.442e+01,2.442e+02,3.907e-09
2.442e+01,2.442e+02,5.179e-09
2.442e+01,2.442e+02,6.866e-09
2.442e+01,2.442e+02,9.103e-09
2.442e+01,2.442e+02,1.207e-08
2.442e+01,2.442e+02,1.600e-08
2.442e+01,2.442e+02,2.121e-08
2.442e+01,2.442e+02,2.812e-08
2.442e+01,2.442e+02,3.728e-08
2.442e+01,2.442e+02,4.942e-08
2.442e+01,2.442e+02,6.551e-08
2.442e+01,2.442e+02,8.685e-08
2.442e+01,2.442e+02,1.151e-07
2.442e+01,2.442e+02,1.526e-07
2.442e+01,2.442e+02,2.024e-07
2.442e+01,2.442e+02,2.683e-07
2.442e+01,2.442e+02,3.556e-07
2.442e+01,2.442e+02,4.715e-07
2.442e+01,2.442e+02,6.251e-07
2.442e+01,2.442e+02,8.286e-07
2.442e+01,2.442e+02,1.099e-06
2.442e+01,2.442e+02,1.456e-06
2.442e+01,2.442e+02,1.931e-06
2.442e+01,2.442e+02,2.560e-06
2.442e+01,2.442e+02,3.393e-06
2.442e+01,2.442e+02,4.498e-06
2.442e+01,2.442e+02,5.964e-06
2.442e+01,2.442e+02,7.906e-06
2.442e+01,2.442e+02,1.048e-05
2.442e+01,2.442e+02,1.389e-05
2.442e+01,2.442e+02,1.842e-05
2.442e+01,2.442e+02,2.442e-05
2.442e+01,2.442e+02,3.237e-05
2.442e+01,2.442e+02,4.292e-05
2.442e+01,2.442e+02,5.690e-05
2.442e+01,2.442e+02,7.543e-05
2.442e+01,2.442e+02,1.000e-04
2.812e+01,2.812e+01,1.000e-10
2.812e+01,2.812e+01,1.326e-10
2.812e+01,2.812e+01,1.758e-10
2.812e+01,2.812e+01,2.330e-10
2.812e+01,2.812e+01,3.089e-10
2.812e+01,2.812e+01,4.095e-10
2.812e+01,2.812e+01,5.429e-10
2.812e+01,2.812e+01,7.197e-10
2.812e+01,2.812e+01,9.541e-10
2.812e+01,2.812e+01,1.265e-09
2.812e+01,2.812e+01,1.677e-09
2.812e+01,2.812e+01,2.223e-09
2.812e+01,2.812e+01,2.947e-09
2.812e+01,2.812e+01,3.907e-09
2.812e+01,2.812e+01,5.179e-09
2.812e+01,2.812e+01,6.866e-09
2.812e+01,2.812e+01,9.103e-09
2.812e+01,2.812e+01,1.207e-08
2.812e+01,2.812e+01,1.600e-08
2.812e+01,2.812e+01,2.121e-08
2.812e+01,2.812e+01,2.812e-08
2.812e+01,2.812e+01,3.728e-08
2.812e+01,2.812e+01,4.942e-08
2.812e+01,2.812e+01,6.551e-08
2.812e+01,2.812e+01,8.685e-08
2.812e+01,2.812e+01,1.151e-07
2.812e+01,2.812e+01,1.526e-07
2.812e+01,2.812e+01,2.024e-07
2.812e+01,2.812e+01,2.683e-07
2.812e+01,2.812e+01,3.556e-07
2.812e+01,2.812e+01,4.715e-07
2.812e+01,2.812e+01,6.251e-07
2.812e+01,2.812e+01,8.286e-07
2.812e+01,2.812e+01,1.099e-06
2.812e+01,2.812e+01,1.456e-06
2.812e+01,2.812e+01,1.931e-06
2.812e+01,2.812e+01,2.560e-06
2.812e+01,2.812e+01,3.393e-06
2.812e+01,2.812e+01,4.498e-06
2.812e+01,2.812e+01,5.964e-06
2.812e+01,2.812e+01,7.906e-06
2.812e+01,2.812e+01,1.048e-05
2.812e+01,2.812e+01,1.389e-05
2.812e+01,2.812e+01,1.842e-05
2.812e+01,2.812e+01,2.442e-05
2.812e+01,2.812e+01,3.237e-05
2.812e+01,2.812e+01,4.292e-05
2.812e+01,2.812e+01,5.690e-05
2.812e+01,2.812e+01,7.543e-05
2.812e+01,2.812e+01,1.000e-04
2.812e+01,5.690e+01,1.000e-10
2.812e+01,5.690e+01,1.326e-10
2.812e+01,5.690e+01,1.758e-10
2.812e+01,5.690e+01,2.330e-10
2.812e+01,5.690e+01,3.089e-10
2.812e+01,5.690e+01,4.095e-10
2.812e+01,5.690e+01,5.429e-10
2.812e+01,5.690e+01,7.197e-10
2.812e+01,5.690e+01,9.541e-10
2.812e+01,5.690e+01,1.265e-09
2.812e+01,5.690e+01,1.677e-09
2.812e+01,5.690e+01,2.223e-09
2.812e+01,5.690e+01,2.947e-09
2.812e+01,5.690e+01,3.907e-09
2.812e+01,5.690e+01,5.179e-09
2.812e+01,5.690e+01,6.866e-09
2.812e+01,5.690e+01,9.103e-09
2.812e+01,5.690e+01,1.207e-08
2.812e+01,5.690e+01,1.600e-08
2.812e+01,5.690e+01,2.121e-08
2.812e+01,5.690e+01,2.812e-08
2.812e+01,5.690e+01,3.728e-08
2.812e+01,5.690e+01,4.942e-08
2.812e+01,5.690e+01,6.551e-08
2.812e+01,5.690e+01,8.685e-08
2.812e+01,5.690e+01,1.151e-07
2.812e+01,5.690e+01,1.526e-07
2.812e+01,5.690e+01,2.024e-07
2.812e+01,5.690e+01,2.683e-07
2.812e+01,5.690e+01,3.556e-07
2.812e+01,5.690e+01,4.715e-07
2.812e+01,5.690e+01,6.251e-07
2.812e+01,5.690e+01,8.286e-07
2.812e+01,5.690e+01,1.099e-06
2.812e+01,5.690e+01,1.456e-06
2.812e+01,5.690e+01,1.931e-06
2.812e+01,5.690e+01,2.560e-06
2.812e+01,5.690e+01,3.393e-06
2.812e+01,5.690e+01,4.498e-06
2.812e+01,5.690e+01,5.964e-06
2.812e+01,5.690e+01,7.906e-06
2.812e+01,5.690e+01,1.048e-05
2.812e+01,5.690e+01,1.389e-05
2.812e+01,5.690e+01,1.842e-05
2.812e+01,5.690e+01,2.442e-05
2.812e+01,5.690e+01,3.237e-05
2.812e+01,5.690e+01,4.292e-05
2.812e+01,5.690e+01,5.690e-05
2.812e+01,5.690e+01,7.543e-05
2.812e+01,5.690e+01,1.000e-04
2.812e+01,8.685e+01,1.000e-10
2.812e+01,8.685e+01,1.326e-10
2.812e+01,8.685e+01,1.758e-10
2.812e+01,8.685e+01,2.330e-10
2.812e+01,8.685e+01,3.089e-10
2.812e+01,8.685e+01,4.095e-10
2.812e+01,8.685e+01,5.429e-10
2.812e+01,8.685e+01,7.197e-10
2.812e+01,8.685e+01,9.541e-10
2.812e+01,8.685e+01,1.265e-09
2.812e+01,8.685e+01,1.677e-09
2.812e+01,8.685e+01,2.223e-09
2.812e+01,8.685e+01,2.947e-09
2.812e+01,8.685e+01,3.907e-09
2.812e+01,8.685e+01,5.179e-09
2.812e+01,8.685e+01,6.866e-09
2.812e+01,8.685e+01,9.103e-09
2.812e+01,8.685e+01,1.207e-08
2.812e+01,8.685e+01,1.600e-08
2.812e+01,8.685e+01,2.121e-08
2.812e+01,8.685e+01,2.812e-08
2.812e+01,8.685e+01,3.728e-08
2.812e+01,8.685e+01,4.942e-08
2.812e+01,8.685e+01,6.551e-08
2.812e+01,8.685e+01,8.685e-08
2.812e+01,8.685e+01,1.151e-07
2.812e+01,8.685e+01,1.526e-07
2.812e+01,8.685e+01,2.024e-07
2.812e+01,8.685e+01,2.683e-07
2.812e+01,8.685e+01,3.556e-07
2.812e+01,8.685e+01,4.715e-07
2.812e+01,8.685e+01,6.251e-07
2.812e+01,8.685e+01,8.286e-07
2.812e+01,8.685e+01,1.099e-06
2.812e+01,8.685e+01,1.456e-06
2.812e+01,8.685e+01,1.931e-06
2.812e+01,8.685e+01,2.560e-06
2.812e+01,8.685e+01,3.393e-06
2.812e+01,8.685e+01,4.498e-06
2.812e+01,8.685e+01,5.964e-06
2.812e+01,8.685e+01,7.906e-06
2.812e+01,8.685e+01,1.048e-05
2.812e+01,8.685e+01,1.389e-05
2.812e+01,8.685e+01,1.842e-05
2.812e+01,8.685e+01,2.442e-05
2.812e+01,8.685e+01,3.237e-05
2.812e+01,8.685e+01,4.292e-05
2.812e+01,8.685e+01,5.690e-05
2.812e+01,8.685e+01,7.543e-05
2.812e+01,8.685e+01,1.000e-04
2.812e+01,1.099e+02,1.000e-10
2.812e+01,1.099e+02,1.326e-10
2.812e+01,1.099e+02,1.758e-10
2.812e+01,1.099e+02,2.330e-10
2.812e+01,1.099e+02,3.089e-10
2.812e+01,1.099e+02,4.095e-10
2.812e+01,1.099e+02,5.429e-10
2.812e+01,1.099e+02,7.197e-10
2.812e+01,1.099e+02,9.541e-10
2.812e+01,1.099e+02,1.265e-09
2.812e+01,1.099e+02,1.677e-09
